KGAS_ID,RMS,minchan,maxchan,minchan_v,maxchan_v,Detected_10kms,Detected_30kms
167,0.001348757,78,109,14895,15234,TRUE,TRUE
168,0.001382275,162,204,15816,16276,TRUE,TRUE
169,0.00136109,104,167,15179,15870,TRUE,TRUE
170,0.001393765,65,110,14752,15245,TRUE,TRUE
171,0.001368455,84,166,14960,15859,FALSE,FALSE
172,0.001360614,133,178,15498,15991,TRUE,TRUE
173,0.001397135,102,186,15158,16079,FALSE,FALSE
174,0.001364763,48,96,14566,15092,TRUE,TRUE
175,0.001300654,14,40,14193,14478,TRUE,TRUE
176,0.00133045,0,60,14039,14697,FALSE,FALSE
177,0.001532283,78,135,9158,9760,FALSE,FALSE
178,0.001550468,105,143,9443,9844,TRUE,TRUE
179,0.001466693,97,142,9360,9835,TRUE,TRUE
180,0.001446263,12,59,8461,8958,TRUE,TRUE
181,0.001547406,48,126,8841,9665,FALSE,FALSE
182,0.001492673,47,95,8831,9338,TRUE,TRUE
183,0.001389118,48,87,8842,9254,TRUE,TRUE
184,0.001556783,93,125,9316,9649,FALSE,TRUE
185,0.001539627,55,94,8915,9327,TRUE,TRUE
186,0.001460659,0,80,8335,9180,FALSE,FALSE
187,0.001496913,105,132,9443,9728,TRUE,TRUE
188,0.001508691,63,106,9000,9454,TRUE,TRUE
189,0.001542635,115,152,9548,9939,TRUE,TRUE
190,0.001140583,81,164,17235,18158,FALSE,FALSE
191,0.00112897,67,94,17079,17379,TRUE,TRUE
192,0.001139423,65,83,17056,17257,TRUE,TRUE
193,0.001131229,92,115,17357,17613,TRUE,TRUE
194,0.00111637,68,117,17091,17636,TRUE,TRUE
195,0.001135322,115,176,17614,18293,TRUE,TRUE
196,0.001153478,94,141,17381,17903,TRUE,TRUE
197,0.001116165,79,133,17213,17814,TRUE,TRUE
198,0.001150863,25,79,16613,17214,TRUE,TRUE
199,0.001141543,24,67,16602,17080,TRUE,TRUE
200,0.00158551,95,174,14650,15513,FALSE,FALSE
201,0.001559412,191,242,15700,16257,FALSE,FALSE
202,0.001556027,100,144,14705,15185,TRUE,TRUE
203,0.001549545,29,109,13929,14803,FALSE,FALSE
204,0.001523127,201,241,15810,16247,TRUE,TRUE
205,0.001576968,87,117,14564,14892,TRUE,TRUE
206,0.001559876,194,228,15733,16104,TRUE,TRUE
207,0.001564223,203,241,15831,16246,TRUE,TRUE
208,0.001594984,179,242,15569,16257,FALSE,FALSE
209,0.001565909,186,228,15644,16103,TRUE,TRUE
210,0.001027273,91,129,12295,12705,TRUE,TRUE
211,7.14E-04,71,154,12080,12974,FALSE,FALSE
212,0.001028795,35,73,11691,12101,TRUE,TRUE
213,0.001021096,25,90,11584,12284,TRUE,TRUE
214,0.001044334,95,149,12338,12920,TRUE,TRUE
215,0.001027655,70,108,12069,12479,TRUE,TRUE
216,0.001027262,46,105,11810,12446,TRUE,TRUE
217,0.001032469,0,71,11317,12081,FALSE,FALSE
218,0.001017233,32,57,11661,11930,TRUE,TRUE
219,0.001271934,191,221,6840,7150,TRUE,TRUE
220,0.00128892,113,193,6036,6862,FALSE,FALSE
221,0.001299832,94,137,5838,6283,TRUE,TRUE
222,0.00143501,127,161,6178,6529,TRUE,TRUE
223,0.001331253,82,136,5713,6271,TRUE,TRUE
224,0.001336157,175,211,6675,7047,TRUE,TRUE
225,0.001359462,157,234,6490,7285,FALSE,FALSE
226,0.001336658,136,171,6272,6633,TRUE,TRUE
227,0.00143531,115,157,6054,6488,TRUE,TRUE
228,0.001099656,103,175,6733,7480,FALSE,FALSE
229,0.001114152,115,159,6858,7315,TRUE,TRUE
